Transaction Creation Cycle Date,Transaction Effective Date,Accounting Cycle Date,Accounting Company,Main Account,Sub Account,Product LOB,Description,Payee Name,Batch Number,Transaction Type,Group Number,Policy Number,Family Number,Credit/Debit,Amount,Check Number,User ID,Offset
03/10/2026,06/15/2030,03/10/2026,C1010,Cash,Lockbox,P15204_L02,Lockbox Cash Clearing,,,AddPolicySuspense,32709,10000025016,F100150687,Debit,1512.12,,GII21,false
03/10/2026,06/15/2030,03/10/2026,C1010,Suspense,DirectBill,P15204_L02,Individual Suspense,,,AddPolicySuspense,32709,10000025016,F100150687,Credit,-1512.12,,GII21,false
03/10/2026,06/15/2030,03/10/2026,C1010,Suspense,DirectBill,P15204_L02,Individual Suspense,,,Premium,32709,10000025016,F100150687,Debit,1408.00,,GII21,false
03/10/2026,06/15/2030,03/10/2026,C1010,Premium Income Renewal,,P12000_L42,Premium Renewal,,,Premium,32709,10000025016,F100150687,Credit,-1408.00,,GII21,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,14126,10000030763,F100010542,Credit,-19.29,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,14126,10000030763,F100010542,Debit,19.29,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15207_L04,Premium Renewal,,H957,Premium,14126,10000030763,F100010542,Credit,-19.29,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,14126,10000030763,F100010542,Debit,19.29,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,61631,08D5148526,F100014769,Debit,15.60,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,61631,08D5148526,F100014769,Credit,-15.60,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15205_L04,Premium Renewal,,H957,Premium,61631,08D5148526,F100014769,Credit,-15.60,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,61631,08D5148526,F100014769,Debit,15.60,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D9394776,F100011182,Debit,46.09,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D9394776,F100011182,Credit,-46.09,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15211_L01,Premium Renewal,,H957,Premium,41267,08D9394776,F100011182,Credit,-46.09,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D9394776,F100011182,Debit,46.09,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41367,08F8642034,F100013524,Debit,4.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41367,08F8642034,F100013524,Credit,-4.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41367,08F8642034,F100013524,Debit,4.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15400_L73,Premium Renewal,,H957,Premium,41367,08F8642034,F100013524,Credit,-4.80,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Cash,BankDraft,P15204_L02,Draft Cash Clearing,,,BankDraft,41267,08D8923148,F100011214,Debit,8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,,BankDraft,41267,08D8923148,F100011214,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Premium Income Renewal,,P15210_L01,Premium Renewal,,H957,Premium,41267,08D8923148,F100011214,Credit,-8.67,,,false
03/10/2026,03/10/2026,03/10/2026,C1010,Suspense,BankDraftClearing,P15204_L02,Bank Draft Clearing,,H957,Premium,41267,08D8923148,F100011214,Debit,8.67,,,false
