Suspense Type,Company,Family Number,Policy Number,Group Number,Group Name,Division Number,Original Cycle Date,Suspense Account,Item Type,Item Status,Item Age,Deposit Amount,Withdrawal Amount,Remaining Deposit Balance,Description,Product LOB,Payment Method,Carrier Code,Processed User,Policy Status,Batch Number
Policy,Unum,F100019003,08D5368500,32455,UNION UNDERWEAR,2002,04/20/2026,BankDraftClearing,EFT Payment to Suspense,Active,0,33.19,0.00,33.19,Transfer to Account:  BankDraftClearing,P15204_L02,Electronic Fund Transfer,10,,Active,
Policy,Unum,F100016661,10000055564,31900,BROWARD HEALTH FORMERLY N BROWARD HOSPITAL DIST,0002,04/20/2026,DirectBill,Deduct from Policy to Suspense,Active,0,190.82,0.00,190.82,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,No Billing,10,,Expired,
Policy,Unum,F100087838,08D6575446,41715,BOXOUT HEALTH,0000,04/17/2026,ListBill,Internal Transfer to Policy,Partial Processed,3,20.00,0.00,7.45,Internal transfer to policy 08D6575446 suspense,P15204_L02,List Bill,10,HelpDesk HelpDesk (helpdesk),Active,G3846
Policy,Unum,F100087838,08D6575447,41715,BOXOUT HEALTH,0000,04/17/2026,ListBill,Internal Transfer to Policy,Partial Processed,3,20.00,0.00,7.45,Internal transfer to policy 08D6575447 suspense,P15204_L02,List Bill,10,HelpDesk HelpDesk (helpdesk),Active,G3846
Policy,Unum,F100087843,08D7635253,41715,BOXOUT HEALTH,0000,04/17/2026,ListBill,Internal Transfer to Policy,Partial Processed,3,16.00,0.00,10.21,Internal transfer to policy 08D7635253 suspense,P15204_L02,List Bill,10,HelpDesk HelpDesk (helpdesk),Active,G3846
Policy,Unum,F100087843,08D7635256,41715,BOXOUT HEALTH,0000,04/17/2026,ListBill,Internal Transfer to Policy,Partial Processed,3,16.00,0.00,10.21,Internal transfer to policy 08D7635256 suspense,P15204_L02,List Bill,10,HelpDesk HelpDesk (helpdesk),Active,G3846
Policy,Unum,F100087843,08D7635258,41715,BOXOUT HEALTH,0000,04/17/2026,ListBill,Internal Transfer to Policy,Partial Processed,3,4.00,0.00,2.88,Internal transfer to policy 08D7635258 suspense,P15204_L02,List Bill,10,HelpDesk HelpDesk (helpdesk),Active,G3846
Policy,Unum,F100030096,10000052432,12322,ELEVATE TEXTILES INC.,2001,04/17/2026,DirectBill,Deduct from Policy to Suspense,Active,3,317.72,0.00,317.72,Returned from PolicyExpiry to Account: DirectBill,P15204_L02,No Billing,10,,Expired,
Group,Unum,,,41715,BOXOUT HEALTH,,04/17/2026,General,Check Payment to Suspense,Active,3,88.00,0.00,88.00,Deposit to Group Account: General,,,10,HelpDesk HelpDesk (helpdesk),,
Policy,Unum,F100025131,08D5769774,30818,CAMDEN COUNTY,0000,04/16/2026,Reinstatement,Lockbox Payment to Suspense,Active,4,173.32,0.00,173.32,Deposit to Policy Account: Reinstatement,P15204_L02,Direct Bill,10,Jane Bryan (DGF20),Lapsed,P1310
